TC-C2570

VEHICLE
NUMBER     CAPACITY
   100     178

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        1000               0
        1       20       18        8           335         554               5
        2       49       65        5           463         783               5
        3       74       19        9           381         689               5
        4       45       54        9            62         387               5
        5       10       16        8           295         605               5
        6       55       67       10           479         873               5
        7       92       16        5           459         750               5
        8       53       63        5            53         415               5
        9       28       78        8            14         336               5
       10       94       17        5           446         801               5
       11       36       17        7            26         400               5
       12        5       48        9           109         443               5
       13       55       67        8            96         296               5
       14       54       65        5           391         784               5
       15       69       58        5           400         678               5
       16       36       21        7           129         472               5
       17       52       69        9           282         672               5
       18       20       20        6           313         590               5
       19       86       47        7           319         611               5
       20       80       44        5           418         707               5
       21        6       52        9           345         612               5
       22       14       91        7           215         448               5
       23       34       78        6           109         360               5
       24       42       59        9           490         864               5
       25       44       58        7           459         795               5
       26       52       42        7           460         843               5
       27       53       66        8           150         374               5
       28       58       44        8           141         387               5
       29       34        6        6           479         787               5
       30        5       68        9           112         447               5
       31       78       56        7           316         551               5
       32       13        4        8            80         451               5
       33       61       54       10            83         388               5
       34       91       48        5           487         708               5
       35       72       88        9           270         473               5
       36       55       67       10           397         663               5
       37       35       11        6            93         428               5
       38       86       14       10            67         382               5
       39       52       68        9             8         329               5
       40       34       16        9           144         433               5
       41       41        4        5            66         464               5
       42       52       47       10           181         552               5
       43       87       40        7           453         738               5
       44       46       50        9           134         477               5
       45       81       18        6           274         553               5
       46       52       66        5           354         566               5
       47       24       70        8           302         648               5
       48       44       22        7           374         640               5
       49       23       17        7           208         476               5
       50       46       40       10           326         652               5
       51       61       65        6           217         437               5
       52       45       13        7           486         840               5
       53       73       43        8            95         379               5
       54       56       49        7           426         687               5
       55       40       48        5           167         507               5
       56       42       63       10           486         811               5
       57       45       20       10           337         582               5
       58       49       60        9           246         502               5
       59       19       22        7           305         678               5
       60       54       66        8             6         313               5
       61       89       15       10           127         388               5
       62       55       68        7           253         541               5
       63       91        9       10           499         724               5
       64       59       50       10            91         388               5
       65       25       71        5           130         438               5
       66       83       45        5            58         425               5
       67       43       21        6           366         571               5
       68       52       63        8           371         706               5
       69       53       66        9           476         822               5
       70       79       34        7           493         829               5
       71       50       62        5           497         780               5
       72       55       67        5           158         371               5
       73        4       32        8            67         351               5
       74       49       63        9            90         329               5
       75       55       65        6            55         309               5
       76       48       34        8           269         660               5
       77       49       72        7             5         276               5
       78       54       27        8           108         405               5
       79       86       21        5            11         280               5
       80        8       80       10           220         493               5
       81       53       63        9           416         699               5
       82       47       74        7           478         734               5
       83       52       68        5           178         467               5
       84       53       63        7           396         633               5
       85       65       21        5            22         226               5
       86       54       66       10           185         513               5
       87       58       63        6           318         643               5
       88       35       43        8           315         647               5
       89       59       20        6           344         697               5
       90       88       13        5           129         501               5
       91       53       66        5           249         510               5
       92       40       26        5             1         279               5
       93       55       67        7           273         641               5
       94       82       52       10           475         843               5
       95       93       31        7           127         344               5
       96       89       48        8            14         329               5
       97       57       44        9           357         692               5
       98       85       19        8           180         541               5
       99       85       20        8           350         634               5
      100       55       67        5            89         381               5
