TC-C0797

VEHICLE
NUMBER     CAPACITY
   100     62

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       54       54        0             0        2000               0
        1       70       87       10           698        1075               5
        2       46       77        7           733         942               5
        3       89       59       10           276         572               5
        4       63       22       10           330         644               5
        5       53       79       10           303         551               5
        6       28       62       10           708        1076               5
        7       50       84        9          1058        1337               5
        8       26       30        7           355         572               5
        9       48       64        7           284         644               5
       10       31       57        9           516         908               5
       11       58       43        8           156         472               5
       12        1       46        8           208         604               5
       13       59       33        8           154         387               5
       14       60       90        9           752         965               5
       15       76       72        7          1033        1349               5
       16       61       90        6           674        1048               5
       17       36       27        5           714        1003               5
       18       36       58       10           674        1043               5
       19       12       64        6           161         439               5
       20       23       62        8           271         615               5
       21       64       19        5           744        1000               5
       22       75       82        9           154         496               5
       23       60       69        9           824        1205               5
       24       16       44        9           847        1086               5
       25       25       66        6           819        1164               5
       26       22       72       10           182         575               5
       27       16      100        6           986        1199               5
       28       46       69        8          1072        1443               5
       29       29       59        9           223         497               5
       30       51       35        5           570         887               5
       31       61       90        6           357         703               5
       32       81       60       10           341         651               5
       33       92       61        6          1256        1581               5
       34       87       61        7           827        1099               5
       35       50       82        8           461         775               5
       36       49       82        9           390         670               5
       37       57       88        7           619         858               5
       38       36       18        9           726        1004               5
       39       88       64       10           350         720               5
       40       64       35        6           180         413               5
       41       73       85        9           838        1197               5
       42       55       85        6           694         901               5
       43       51       78        7           680        1013               5
       44       50       83        9           797        1108               5
       45       66       87        8           848        1080               5
       46       30       26        8           652         956               5
       47       28       30        5           314         635               5
       48       58       88        6           275         598               5
       49       19        0        5           330         679               5
       50       54       94        5           659        1008               5
       51       29        5       10           843        1157               5
       52       28       30        6           171         428               5
       53       32       42        6           228         491               5
       54       47       75        5           307         521               5
       55       73       90       10           714         976               5
       56       86       14        5          1356        1630               5
       57       29       76        6           737         990               5
       58       68       83        6           689         904               5
       59       59       80        6          1396        1754               5
       60       68       96        8           404         765               5
       61       26        9        9           237         451               5
       62       27       25       10          1091        1307               5
       63       60       89        9           163         526               5
       64       23       93        7           298         577               5
       65       39       81        7           153         539               5
       66       68       95        9           783        1132               5
       67       22       32        7           207         522               5
       68       94       72        9           485         711               5
       69       45       81        8           612         900               5
       70       31       45        9           399         716               5
       71       42       81        9           344         688               5
       72       31        3        9           774        1166               5
       73       62       90        7           218         600               5
       74       36        4        6           164         383               5
       75       35       75       10           308         677               5
       76        3       26        7           328         538               5
       77       33       81        9           653         860               5
       78       58       29        9           822        1080               5
       79       43       82        5           838        1206               5
       80       80       68        9           668        1054               5
       81       49       77       10           740        1069               5
       82        0       66       10           267         530               5
       83       53       89        5           270         629               5
       84       35       59        6           220         473               5
       85       39       68        9           790        1153               5
       86       89       10       10           723         936               5
       87       59       40        6           349         555               5
       88       22       19        9           960        1232               5
       89       37       35        5           828        1212               5
       90       66       83        6           651        1019               5
       91       33       93        9           227         455               5
       92       51       82        9           315         683               5
       93       90       21       10           655         998               5
       94       59       88        7           732        1003               5
       95        7       36        5           249         544               5
       96       58       90       10           191         485               5
       97       55       87        9           672         914               5
       98       64       80        8           346         650               5
       99       27       25        8           696        1060               5
      100       61       89        6          1010        1212               5
