TC-C4100

VEHICLE
NUMBER     CAPACITY
   100     24

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        1000               0
        1       68       40        1           670         818               5
        2       87       44        1           680         799               5
        3       88       21        1           397         454               5
        4       53       36        1           655         712               5
        5       27       66        1           738         824               5
        6       76       19        1           650         775               5
        7       84       25        1           521         605               5
        8       97       15        1           277         390               5
        9       69       31        1           736         812               5
       10       97       15        1           115         253               5
       11       47       38        1           523         580               5
       12        1       94        1           480         534               5
       13       57       35        1           254         387               5
       14       78       28        1           344         416               5
       15       81       72        1           271         345               5
       16        4       98        1           669         780               5
       17       95       22        1            14         160               5
       18      100       14        1            63         142               5
       19       47       14        1           264         318               5
       20        7       97        1           510         573               5
       21       51        3        1           736         857               5
       22       85       18        1           707         849               5
       23       51       48        1           518         619               5
       24        9       64        1           718         784               5
       25       22       37        1           179         328               5
       26       57       54        1           209         332               5
       27       21       14        1           139         250               5
       28       91       17        1           678         769               5
       29       18       60        1           152         251               5
       30       88       20        1           242         376               5
       31       92       35        1           124         265               5
       32       86       17        1           141         215               5
       33       60       17        1           266         356               5
       34       69        0        1           187         267               5
       35       89       27        1           161         272               5
       36       70       51        1           727         803               5
       37       28       69        1           656         771               5
       38       85       18        1           739         805               5
       39       45       23        1           644         730               5
       40       27       79        1           566         651               5
       41       41       14        1           202         301               5
       42       80        8        1           234         289               5
       43       69       31        1           716         791               5
       44       16       54        1           209         352               5
       45       96       21        1           310         449               5
       46       86       21        1           657         727               5
       47       91       20        1           261         408               5
       48       43       79        1           293         385               5
       49       24        2        1           743         883               5
       50       41       14        1           664         771               5
       51       87       19        1           705         785               5
       52       99       20        1           702         760               5
       53       87       77        1           278         328               5
       54       24       84        1           682         817               5
       55       96       23        1           250         330               5
       56       73       36        1           685         788               5
       57       23       94        1           151         279               5
       58       19       46        1           671         800               5
       59       20       73        1           243         317               5
       60       39       18        1           680         803               5
       61       45        6        1           180         310               5
       62       91       13        1           715         856               5
       63       77       42        1           550         641               5
       64       87       29        1           710         784               5
       65       88       21        1           241         298               5
       66       96       19        1           381         434               5
       67       84       73        1           246         345               5
       68       67       31        1           607         664               5
       69       97       21        1           645         720               5
       70       38        6        1           447         526               5
       71       57       36        1           207         313               5
       72       36       48        1           701         834               5
       73       87       18        1           749         893               5
       74       28       46        1           740         880               5
       75       73       46        1           721         852               5
       76       95       20        1           207         277               5
       77       79        0        1           667         747               5
       78       27       34        1           706         766               5
       79       34        0        1           739         833               5
       80       78       30        1           733         799               5
       81       89       21        1           188         267               5
       82       88       29        1            43         187               5
       83       85       15        1           247         369               5
       84       93       23        1           701         821               5
       85       98       17        1           674         781               5
       86       42        1        1           213         337               5
       87       21       57        1           684         734               5
       88       19       81        1           312         362               5
       89       87       23        1           253         393               5
       90      100       51        1           292         433               5
       91       85        9        1           327         464               5
       92       69       30        1           307         439               5
       93       88       19        1           141         252               5
       94       93       16        1           343         484               5
       95       82        2        1           305         450               5
       96       95       13        1           660         792               5
       97       33        9        1           689         800               5
       98       70       18        1           541         596               5
       99       92       18        1           170         237               5
      100       97       20        1           178         282               5
