TC-RC3231

VEHICLE
NUMBER     CAPACITY
   100     846

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        2000               0
        1       74       97       16           114         494               5
        2       25        2       97           346         729               5
        3       61       50       12           435         780               5
        4       11       27       66           184         464               5
        5       77       87        6          1144        1364               5
        6       78       63       59           822        1063               5
        7       82       68       45           946        1313               5
        8       43       95       84           198         517               5
        9       82       82       91           841        1146               5
       10       74        9        9           749        1004               5
       11       67       64       26           159         550               5
       12       82       68       50           336         638               5
       13       81       46       81           660        1028               5
       14       49       31       54           203         588               5
       15       49       97       72           238         629               5
       16       80       27        7          1382        1678               5
       17        4       97       13           772        1094               5
       18        1       22       22           677        1065               5
       19       66       87       68           826        1191               5
       20       51       40       93           780        1031               5
       21       69       76       62          1139        1378               5
       22       71       73        7          1446        1750               5
       23       88       64       71           154         387               5
       24       69       76       36           789        1047               5
       25       81       67       32           303         650               5
       26       93       74       46           828        1167               5
       27       58       35       90           324         635               5
       28        0       75        8           166         488               5
       29       87       68       84           746        1108               5
       30       68       71       86           212         414               5
       31       55       55       63           337         598               5
       32       10       65       26           687         927               5
       33       58       83       20           722         927               5
       34       62       85       37           225         457               5
       35       76       55       22           782        1084               5
       36       67       52       21          1138        1469               5
       37       68       77       62           697        1086               5
       38       11       58       80           748         959               5
       39       22       57       74           221         458               5
       40       94       25       26           208         539               5
       41       72       27       52          1328        1688               5
       42       67        8       72           331         548               5
       43       75       72       62           211         583               5
       44       85       68       33           680        1073               5
       45       50       68       34           837        1118               5
       46       74       75       27           302         648               5
       47        6       56       79           736        1052               5
       48       90       49       34          1442        1696               5
       49       11       32       13          1389        1610               5
       50       71       87       57           686         907               5
       51       90       86       63           849        1109               5
       52       88       98       94           762        1123               5
       53       92        2       48           524         900               5
       54       45       99       58           793        1163               5
       55       55       22       31           695         919               5
       56        4       63       70           707        1029               5
       57       75       68       44           777        1011               5
       58       64       17       75           686         906               5
       59       77        4       37           681        1005               5
       60       86       14       79           817        1094               5
       61       56       59       98           187         561               5
       62       39       78       20           715        1082               5
       63       29       80       73            38         238               5
       64       72       77       89           205         477               5
       65       67       60       45           325         701               5
       66       68        3       17           308         564               5
       67        7       29       67           687         975               5
       68       41       55       79           220         591               5
       69        3       22       78           814        1090               5
       70       13       80       94           169         460               5
       71       48       25        1           770        1038               5
       72       27       25       76           779        1171               5
       73       81       67       20           241         581               5
       74        1        9       79          1030        1319               5
       75       54       86        2           254         504               5
       76       92       64       34           257         521               5
       77        8       30       97           155         448               5
       78       67       75       68           223         552               5
       79       74       53       83          1231        1472               5
       80       97       64       84           193         584               5
       81       73       55       79           830        1052               5
       82       69       76       25           829        1174               5
       83        8       27       69           366         740               5
       84       75       51       67           706        1099               5
       85       46       16       36           784        1068               5
       86       97       84       11           277         507               5
       87       81       68       75          1103        1452               5
       88       85       38       49           651         957               5
       89       78       34       35          1424        1663               5
       90       76       69       97          1326        1601               5
       91       80       48       94           686        1025               5
       92       83       73       89           661         914               5
       93       80        7       22           316         597               5
       94       99       39        3           319         649               5
       95       71       74       19          1407        1771               5
       96       68       55       44           186         453               5
       97       27       69       73           312         617               5
       98       42       99       36           718         924               5
       99       64       80       98           157         407               5
      100       27       25       75           338         732               5
