TC-C2500

VEHICLE
NUMBER     CAPACITY
   100     64

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        1000               0
        1       53       71        9           430         550               5
        2       12       80        8           655         728               5
        3       94       93       10           748         815               5
        4       77       78       10           257         353               5
        5        6       97        6           188         317               5
        6       51       87        8           405         480               5
        7       74       90        8           614         693               5
        8       15       78        9           171         286               5
        9        1       52        9           687         774               5
       10       70       88        5           170         227               5
       11       53       88        8           613         721               5
       12       48       69        8           677         780               5
       13       70       88        9           172         246               5
       14       33        7        5           151         273               5
       15        6       13        6           676         795               5
       16       67       90        9           717         768               5
       17       71       89        7           381         476               5
       18       55       50        7           374         452               5
       19       74       85        6           629         729               5
       20       21        7        8           264         327               5
       21       86       92        9           212         338               5
       22       78       92        9           663         813               5
       23       59       27        9           323         411               5
       24       88       94       10           177         232               5
       25       70       88        7           689         782               5
       26       41       57       10           728         827               5
       27       90       90       10           685         770               5
       28       94       93        9           255         350               5
       29       91       93        9           190         254               5
       30        4       84        9           739         796               5
       31       48       69       10           304         451               5
       32       71       92        9           179         302               5
       33       27       44        9           694         783               5
       34       46       90        7           686         773               5
       35       85       68        9           245         378               5
       36       68       85        9           334         441               5
       37       99       28        9           335         387               5
       38       48       70       10            23         166               5
       39       74       91        6           678         778               5
       40       71       89       10           292         364               5
       41       95       90       10           706         837               5
       42       56       68        7           447         515               5
       43       49       68        8           255         305               5
       44       62        0        7           720         836               5
       45       94       93       10           205         271               5
       46       71       89        8           204         312               5
       47       39        1        9           722         846               5
       48       50       66        7           323         422               5
       49       26       11        9           749         894               5
       50       99       41        8           713         773               5
       51       33       49        8           696         785               5
       52       94       77        5           309         382               5
       53       75       86       10           700         825               5
       54       90       49        8           466         527               5
       55       79       77        8           701         785               5
       56       70       90       10           233         297               5
       57       71       89        7           711         766               5
       58       11        5        9           739         852               5
       59       37       67        9           313         384               5
       60       63       58        5           688         827               5
       61       13       80        6           709         760               5
       62       70       89        7           177         285               5
       63       99       92        9           309         360               5
       64       70       92        7           686         770               5
       65       72       88        9            70         197               5
       66       33       62        7           660         783               5
       67       79       86        7           503         640               5
       68       78       75        7           286         385               5
       69       61       79        9           327         415               5
       70       99       75        9           678         783               5
       71       46       75        9           308         439               5
       72        6       11        7           311         403               5
       73       96       96       10           224         364               5
       74       71       76        8           251         338               5
       75       62       99        6           669         779               5
       76       48       69        5           538         683               5
       77       76       91        6           348         450               5
       78       16       79        9           272         397               5
       79       70       89        6           740         814               5
       80       77       87        8           155         233               5
       81        1       89        6           698         789               5
       82       92       93       10           729         826               5
       83       92       85        7           288         348               5
       84       56       74        7           558         690               5
       85       88       93        6           689         788               5
       86       40       39        5           696         803               5
       87       76       93        5           710         842               5
       88       77       94       10           264         331               5
       89       94       93        6            33         121               5
       90       69       87        9           342         451               5
       91       94       93        6           258         340               5
       92       83       98        8           527         632               5
       93       21       83        8           654         732               5
       94        8       17        9           319         439               5
       95       49       66       10           659         743               5
       96       71       87        6           220         275               5
       97       26       51       10           699         791               5
       98       79       13       10            96         216               5
       99       92       96        9           246         344               5
      100       19       33        6           634         698               5
