TC-RC2986

VEHICLE
NUMBER     CAPACITY
   100     43

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        1000               0
        1       73        8        9            20         300               5
        2       54       64        4           271         557               5
        3       14       88        3            39         372               5
        4       21       86        8            95         453               5
        5       25       30        8           225         438               5
        6       58       62        3            18         292               5
        7       83       54        7           219         436               5
        8        7       57        9           186         421               5
        9       90       27        8           471         717               5
       10       15       78        3           404         698               5
       11       80       98        4           464         852               5
       12       29       81        5            20         399               5
       13       89       76        5           455         827               5
       14       50       79        4           186         393               5
       15       29       31        1           471         734               5
       16       64       73       10            24         256               5
       17       93       53        8           215         420               5
       18       92       41        3           204         570               5
       19       83       52        2           174         385               5
       20       12       61        9           342         546               5
       21       95       93        5           440         691               5
       22       48       74        3            43         252               5
       23       10       11        7           188         420               5
       24       58       35        9            73         378               5
       25       50       72        9            70         427               5
       26       98       25        3           234         442               5
       27      100       65        7           166         446               5
       28       21       74       10           130         371               5
       29       40       97        8             4         401               5
       30       16       87        6           354         684               5
       31       59        9        6           377         603               5
       32       13       89        4           138         532               5
       33       34       90        5           364         651               5
       34       49       84        4           297         560               5
       35       34       57        5           342         599               5
       36       52       16        1           140         419               5
       37        3       84        3           449         758               5
       38       15       83        6            33         258               5
       39       94       48       10            63         301               5
       40       71        0        2           370         668               5
       41       98       12        5            57         423               5
       42        2       30        7           187         557               5
       43       28       63        9           397         760               5
       44       85        7        1           459         799               5
       45       65       73        1           128         366               5
       46       61        1        1             5         248               5
       47       13       28        6           462         840               5
       48        8       48       10            16         273               5
       49       75       75        7           430         825               5
       50       46       13        7            38         289               5
       51       11        5        7           319         600               5
       52       48       74        8           347         572               5
       53       94       48        7           121         442               5
       54       46       21        8            75         291               5
       55       33       74        2           202         474               5
       56       42       36        5           476         687               5
       57       17       91        4           188         550               5
       58       48       84        5           362         756               5
       59       75       46        1           264         573               5
       60       64       43        4           193         496               5
       61       94       48        3           179         551               5
       62       91       52        8           221         442               5
       63       26       29        9           403         717               5
       64       92       48        2           271         569               5
       65       52       63        1           460         816               5
       66       48       74        7           339         736               5
       67       82       77        3           244         534               5
       68      100       44        5           145         487               5
       69       12       79        5           424         705               5
       70       16       88        3            56         385               5
       71       24       75        3           434         777               5
       72       80       11        8           111         390               5
       73       39       64        7            99         367               5
       74       88       99        6           494         871               5
       75       45       42        9           391         770               5
       76       37       32        7           442         718               5
       77       31       53        1           111         415               5
       78       15       87        1           201         576               5
       79       94       39        7           102         482               5
       80       99       52        1           188         486               5
       81       28        1        3           404         732               5
       82       15       78        3           215         421               5
       83       34       88        1            11         254               5
       84       64       93        5           472         780               5
       85       94       48        6           211         489               5
       86       89       58        4           157         520               5
       87       13       85        1            63         308               5
       88       54       74        7           350         561               5
       89       12       82        3           287         493               5
       90       97       12        8           376         586               5
       91       79       64       10           327         582               5
       92       96       64        3            83         408               5
       93       45       76        5           430         782               5
       94       36       64        9           299         699               5
       95        0       23        7           296         600               5
       96       80       81       10           333         567               5
       97       15       25        5            93         463               5
       98        1       81        6           113         471               5
       99       11       86       10           319         586               5
      100       14       74        1           192         575               5
