TC-RC4974

VEHICLE
NUMBER     CAPACITY
   100     1157

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        1000               0
        1       94       32       18           466         846               5
        2        8       30       99           213         553               5
        3       62       98       34           480         809               5
        4       80       95       87           236         461               5
        5       63       54       40           167         532               5
        6       85       94       31           441         704               5
        7       66       92       86           440         807               5
        8       26       24       41           186         522               5
        9       69       12       33           464         738               5
       10       82       95        3           428         729               5
       11       13       62       45           447         751               5
       12       63       99      100           257         652               5
       13       57       90       81           412         663               5
       14       24       43       20           446         652               5
       15      100        5       11           493         840               5
       16       32       50       46           177         567               5
       17       28       92       70             5         325               5
       18       75       86       64           307         569               5
       19       38       85       15           425         705               5
       20       72        1        9           417         644               5
       21       58       34       80           343         722               5
       22       79       82       27           194         587               5
       23        1       22       87           477         696               5
       24       49       93       83           111         381               5
       25       42       99       55           414         627               5
       26       29       17       69           283         652               5
       27       91       26       26           455         842               5
       28       46       33       92           404         712               5
       29       90       25       75           246         577               5
       30       73       83       72           125         398               5
       31       85       84       25           294         495               5
       32       54       96       97           250         572               5
       33       74       69        6           409         749               5
       34       76      100       23           461         749               5
       35       78       97       85           472         802               5
       36      100       33       72           260         474               5
       37       91       47       75           483         810               5
       38       79       73        2           452         760               5
       39       58       43       35           431         645               5
       40       15       63       24           307         635               5
       41       37       86       23           418         745               5
       42       90       89       53           211         541               5
       43       15       51       90           494         875               5
       44       57       54       65           492         845               5
       45       45       23       72           224         537               5
       46        9        9       67           221         444               5
       47       77       94       14           201         443               5
       48       83       25       92           177         464               5
       49       13       60       72           456         786               5
       50       38       15        9           165         504               5
       51       36       41       20           438         771               5
       52       23       34       37           261         593               5
       53       95       30        8           293         621               5
       54       79       92       67           145         464               5
       55        4       55       96           447         822               5
       56       87       94       91           479         806               5
       57       10       42       13           390         762               5
       58       24       31       68           330         678               5
       59       16       84        2           496         713               5
       60       83       88       19           327         590               5
       61        0       26       10           349         576               5
       62       82       28       65           196         421               5
       63       70       74       71           420         742               5
       64        8       48       52           161         503               5
       65       52       97       56           156         476               5
       66       39       12       82           477         784               5
       67       31       20       10           179         515               5
       68       54       92       33           264         510               5
       69       96       26       41           345         685               5
       70       91       16       26           165         408               5
       71       11       27       88           159         402               5
       72       83       35       35           232         631               5
       73       12       63       60           314         671               5
       74       72       69       17           494         816               5
       75       69       49       27           223         560               5
       76       48       19       76           408         798               5
       77       23       31       52           297         597               5
       78       82       94        3           288         531               5
       79       59       93       33           345         718               5
       80       44        2       25            77         344               5
       81       37       63       26           176         535               5
       82       28       32       84           193         407               5
       83        5       81       93           437         743               5
       84       68        7       53           487         856               5
       85       54       69       88           299         603               5
       86       22       12       87           376         753               5
       87       53       54       50           425         729               5
       88       90       18       14           152         403               5
       89        8       10       35           345         591               5
       90       40       77       24           301         654               5
       91       96       26       76           182         414               5
       92       91       55       70           479         721               5
       93       74      100       49           191         538               5
       94       55        8       24           443         808               5
       95       90        3        9           166         557               5
       96       80       57       93           151         390               5
       97       49       27       30           170         564               5
       98       39       52        5           423         643               5
       99       85       89       21           419         672               5
      100       59       80        6           487         694               5
