TC-C0723

VEHICLE
NUMBER     CAPACITY
   100     88

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       75       66        0             0        2000               0
        1       47       43        5          1727        1779               5
        2       27       88        8          1403        1458               5
        3       31       85        4           544         609               5
        4       22        7        4          1465        1520               5
        5       54       84        2            41         131               5
        6        2       70        4          1049        1173               5
        7       26       82        3           909        1024               5
        8       64       48        2          1482        1630               5
        9       55       94        5          1312        1445               5
       10       80       59        8          1643        1716               5
       11       83       38        9           835         928               5
       12       42        0        9           636         742               5
       13        5       76        1          1302        1407               5
       14       30       92        4           528         673               5
       15       92       62        5          1707        1844               5
       16       36       77        2          1447        1596               5
       17       25       83        9           102         154               5
       18       52       46        3           205         275               5
       19       28       79        2            90         237               5
       20       43       50        6          1070        1166               5
       21       11       30        2           990        1093               5
       22       99       35        8           588         716               5
       23       24       84        9          1116        1227               5
       24        4        0        4           998        1125               5
       25       48       81        9          1609        1706               5
       26       99       93        3          1243        1354               5
       27       24       76        8          1564        1654               5
       28        8       53        3          1341        1420               5
       29       21       75        9          1731        1864               5
       30       26       76        5          1450        1521               5
       31       31       86        1          1037        1146               5
       32        2       25        8           127         248               5
       33       89       93        7          1220        1296               5
       34       28       77        8          1226        1354               5
       35       29       74        1          1209        1332               5
       36       28       77        5          1309        1430               5
       37       37       80        3           982        1101               5
       38       27       80        2          1229        1289               5
       39        8       16        3           454         540               5
       40       32       82        7           549         610               5
       41       22       80        9          1058        1147               5
       42        7       48        6          1536        1635               5
       43       17       81        1          1032        1124               5
       44       12       35        6           432         575               5
       45       29       78        4           136         226               5
       46       32       80        8           557         689               5
       47       27       82        7          1580        1693               5
       48       99        4        8           949        1013               5
       49        4       28        4          1098        1245               5
       50       24       86        5           967        1030               5
       51       33       80        8           618         710               5
       52       89      100        7           849         979               5
       53       28       84       10           883         988               5
       54       26       93        7           746         860               5
       55       51       86        3          1268        1376               5
       56       33       83        6          1548        1626               5
       57       26       77        6          1162        1221               5
       58       26       83        4           448         541               5
       59       32       84        4          1153        1217               5
       60       35       69        3            49         142               5
       61       33       86        7          1619        1715               5
       62       26       72       10           167         283               5
       63       36       80        4          1031        1120               5
       64       50       45        9           821         893               5
       65       40       38        1           357         505               5
       66       25       82        4           486         578               5
       67       28       75        2          1650        1786               5
       68       18       80        1           347         478               5
       69       33       84        3           945        1000               5
       70       88        8        8           108         204               5
       71       24       84        7          1250        1321               5
       72       34       85        3           649         741               5
       73       40       76        4           782         931               5
       74       21        0        3          1129        1181               5
       75       25       82        8            29          97               5
       76       87       97        7           491         581               5
       77       25       80        7           531         667               5
       78       39       77        3          1325        1475               5
       79       95       96        3          1037        1125               5
       80       48       51        5          1125        1221               5
       81       37       42        3            97         155               5
       82       82       85        9           324         464               5
       83       23       88       10          1648        1707               5
       84       26       98        7           336         467               5
       85       25       84        8           567         632               5
       86       37       82        4           913        1045               5
       87       16       79        9          1085        1230               5
       88       47       89        6           357         443               5
       89        2       65        4           292         418               5
       90       14       20        5           340         453               5
       91       21       78        6           474         557               5
       92       23       84        8           743         804               5
       93       37       87        3          1036        1183               5
       94       24       85        8          1077        1137               5
       95       30       68       10           542         595               5
       96       45       80        9          1709        1828               5
       97       95       92        2           704         779               5
       98       22       73        7           336         456               5
       99       45       82        4           371         430               5
      100       91       57        9           567         622               5
