TC-R3774

VEHICLE
NUMBER     CAPACITY
   100     406

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0        0        0        0             0        2000               0
        1       53        8       27           227         525               5
        2        1        7       74           317         536               5
        3       51       12       86           668        1028               5
        4       63       26       42           270         574               5
        5        7       93       20           822        1056               5
        6       48       53       51           802        1003               5
        7       67        0        2          1342        1552               5
        8       42       61       74           818        1042               5
        9       18       39       64           841        1210               5
       10       12       34        1           229         516               5
       11       23       72       31          1412        1698               5
       12       42       99       97           827        1148               5
       13       60       62       92           257         534               5
       14       44       63       31           674         889               5
       15       68       96       77           790        1158               5
       16       77        7        8           696         986               5
       17       37       89       81           166         503               5
       18       59       11       26           176         408               5
       19       56       34       73           816        1118               5
       20       71        9       77           342         666               5
       21       64       91       12           801        1167               5
       22       52       86       93           173         503               5
       23       61       32       50           179         429               5
       24       87       74       84          1209        1484               5
       25       78       86       59           745         989               5
       26       81       22       46           223         586               5
       27       82       74       14           199         461               5
       28       82       30       94           312         659               5
       29       84       71       70          1422        1685               5
       30       25       25       47           748         970               5
       31       37       19       95           249         451               5
       32       69       23       25           840        1058               5
       33       68       61       18           199         486               5
       34       77        9       21           732        1019               5
       35       72       68       74           345         666               5
       36       27       93       12           732        1067               5
       37       97        9        6           816        1124               5
       38       37       34       85           847        1185               5
       39       91       62       40           738         965               5
       40        8        4       31           521         788               5
       41       63        3       72           395         626               5
       42       47       48       92           184         495               5
       43       83       54      100           833        1208               5
       44       16       47       20           333         602               5
       45       46       43       89           731         932               5
       46       60       62       30            34         378               5
       47       40       46       98           696        1006               5
       48       89       94       70           686         935               5
       49       57       17        1           770        1008               5
       50        4       55       21           776        1086               5
       51      100       74       83           840        1171               5
       52       45       90      100           119         440               5
       53       34        8       46           926        1193               5
       54       33       95       99           208         515               5
       55       10       33       37           858        1079               5
       56       12       39       10           271         593               5
       57        1       79        1           362         641               5
       58       10        2       42           650         878               5
       59       39       31       49           239         605               5
       60       91       91       36           170         570               5
       61       57       76       37           208         575               5
       62       55       22       81           817        1126               5
       63       58       90       53           706         969               5
       64       95       31       73          1027        1252               5
       65       58       86       43           502         707               5
       66       93       99        8           731        1050               5
       67        5       32       32          1080        1460               5
       68       67       47       25           229         445               5
       69       21       80       98           847        1204               5
       70       98       92       20           278         632               5
       71       63       33       67           898        1279               5
       72       69       34       79           187         432               5
       73       82       35       98           340         629               5
       74       25       16       24           895        1137               5
       75        6       86       41           606         941               5
       76       39       21       21           284         494               5
       77       65       67        1           251         614               5
       78       86       20       52           332         543               5
       79       40       89       72          1349        1613               5
       80        2       56       10           771        1042               5
       81        7       71        6           783         994               5
       82       41       73      100           276         652               5
       83        3       55       96           684         982               5
       84       96       10       78           315         571               5
       85       14       29       64           266         553               5
       86       66       30       92           216         474               5
       87       83       37       57            45         353               5
       88       13       47       85           277         498               5
       89       15       74       14           570         930               5
       90       59       71       10           160         410               5
       91       63       68       94          1420        1657               5
       92       12       29       11           606         966               5
       93       13       35       72           747        1027               5
       94       97        1       80           168         475               5
       95       31       44       28           681         973               5
       96       41       76       61           800        1054               5
       97        0        5       28           602         913               5
       98       97       49        4           530         734               5
       99       20       85       15           178         439               5
      100       83       81       35           216         489               5
