TC-R2007

VEHICLE
NUMBER     CAPACITY
   100     175

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        2000               0
        1       89       17        5           718         840               5
        2       57       79        7           915         973               5
        3        4       99        5          1529        1656               5
        4        3       84        9           510         570               5
        5       79       65        8           694         800               5
        6      100       95        7           876         998               5
        7       31       11        5           822         938               5
        8        6       29        8           208         316               5
        9       97       10        7           677         759               5
       10       32       67        7           664         740               5
       11       79        7        9          1648        1737               5
       12        0       82       10           680         763               5
       13       64       12        8           240         364               5
       14       59        4        7          1442        1592               5
       15       51       26        9           304         409               5
       16       13       85        5           698         780               5
       17       36       19        8           344         405               5
       18       99       64        8           234         316               5
       19       59       97        7           349         466               5
       20       13       19        6           829         886               5
       21        0        3        8           823         973               5
       22       54       12        6           263         392               5
       23       16       14        8           798         934               5
       24       80       58        9           843         984               5
       25       25       84        8           227         376               5
       26       64       40        5           759         893               5
       27        0       79       10           693         799               5
       28       99       26        5           158         282               5
       29       35       58        7           800         901               5
       30       48       45        5           836         943               5
       31       49       26        5           272         360               5
       32      100       52       10           838         922               5
       33       39       34        6           194         276               5
       34       47       21        7           184         242               5
       35       60       78        9           925        1032               5
       36       74       90        6           313         463               5
       37        3       14        6           832         920               5
       38       17       80        6           290         416               5
       39       62       32       10           838         947               5
       40       83       14        6           684         763               5
       41       46       36       10           691         802               5
       42       68      100        5           263         352               5
       43       31       42       10           686         752               5
       44       30       20        5           279         381               5
       45       22       37        6           530         624               5
       46       49        7        6           592         730               5
       47       66       35       10           272         336               5
       48       54       19        7           704         825               5
       49       19       90        8           207         266               5
       50       90       76        8           305         425               5
       51       55      100        5           600         652               5
       52       42       64        7           469         547               5
       53       61       19        8           205         257               5
       54       54       15        6            72         178               5
       55       10       59        5          1174        1227               5
       56       54       60        7           663         735               5
       57        5       60       10           812         953               5
       58        5       23        8            75         224               5
       59       69       45        7           775         890               5
       60       71       83        9           940         993               5
       61       84        7        5           690         823               5
       62       29       10        6           823         908               5
       63       60       67        6           209         324               5
       64       17       60        8          1130        1277               5
       65       15       80        6           166         278               5
       66       72       67        6           153         280               5
       67        0       39        8           154         224               5
       68       17       50        7          1381        1529               5
       69       34       52        6           190         319               5
       70       98       11        6           261         329               5
       71       66       99        5           209         308               5
       72       42       12        9           701         796               5
       73       32       15       10           342         393               5
       74       94       59        8           795         932               5
       75       30       64        9          1540        1657               5
       76       27       20        8           523         608               5
       77       15       71        6           179         287               5
       78       70       97       10           605         745               5
       79       39       91       10           711         849               5
       80       27       84        6           661         731               5
       81       57       18        6          1552        1613               5
       82       80       19        5           264         358               5
       83       56       88        9           237         384               5
       84       84       45       10           793         886               5
       85       91       49        5           210         302               5
       86       15       55       10           174         256               5
       87       66       39        8           270         325               5
       88       10       99       10          1293        1381               5
       89       64       35        7           761         840               5
       90       96       89        6           720         819               5
       91       92       80        9           155         217               5
       92       27       29        5           164         313               5
       93        5       81        6           262         347               5
       94       22       45        7           277         373               5
       95       19       23       10           831         913               5
       96       89       33        9          1533        1616               5
       97        5       66        5           187         305               5
       98       63       87        8          1277        1357               5
       99       36       79        6           830         919               5
      100       56       18        7           706         789               5
