TC-R2154

VEHICLE
NUMBER     CAPACITY
   100     1214

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        1000               0
        1       90       39       66           135         339               5
        2       72       25       57           415         632               5
        3       51       72       86           120         326               5
        4       14       33       95           415         756               5
        5       68       65       60           148         482               5
        6       18       26       55           426         694               5
        7       55       84       63            94         492               5
        8       84       54       65           344         629               5
        9       90       82       85           109         383               5
       10       28       55       65            85         429               5
       11       41       16       94           239         605               5
       12       74       19       98            62         345               5
       13        5       87       95           103         439               5
       14       17       80       63           320         679               5
       15       45       17       95           390         704               5
       16       26       22       79            48         259               5
       17       36       66       58           260         527               5
       18       30       42       72           269         660               5
       19        7       50       82            69         431               5
       20       82       28       83           281         623               5
       21       43       79       87           367         617               5
       22       93       13       88           288         688               5
       23       86       17       78           253         607               5
       24       47       19       69           425         715               5
       25       69       29       87           234         435               5
       26       56        3       74           383         599               5
       27       53       15       66           348         726               5
       28       40       30       90           222         425               5
       29       86       94      100            93         365               5
       30       95       94       57           407         636               5
       31       29       39       51           268         518               5
       32       94       51       89           194         497               5
       33       40       30       59           366         728               5
       34       78       44       92           233         608               5
       35       73       74       57            79         467               5
       36       38       54       79           410         769               5
       37       13       54       87           282         617               5
       38       56       92       58           301         608               5
       39       30       82       73           102         413               5
       40       33       22       97           234         511               5
       41       89       47       99           320         564               5
       42        7       73       88           381         717               5
       43       49       66       64           260         541               5
       44       63       92       58           393         688               5
       45       91       62       59           119         408               5
       46       44       26       65           327         574               5
       47       52       20       95           454         780               5
       48       25       58       71            44         407               5
       49       47       15       95           464         790               5
       50       77        4       84           465         791               5
       51       45       61       93           201         573               5
       52       74       93       65           457         829               5
       53        9       76       78            92         454               5
       54       73       70       93           332         707               5
       55       22        3       83           497         876               5
       56       40       47       63           151         548               5
       57       53       21       53           403         706               5
       58       19       65       51           105         329               5
       59       97       59       61            34         381               5
       60       38       17       84           241         537               5
       61       74       65       92           465         838               5
       62       42       11       56           275         664               5
       63       16       59       78           162         415               5
       64       13       28       99           372         592               5
       65       78       65       83             6         246               5
       66       78       79       86            37         342               5
       67       17        5       99            61         305               5
       68       21       92       59           266         560               5
       69       27       82       76           177         529               5
       70       94       55       52           211         423               5
       71       61       82       50           106         424               5
       72       56       98       85           473         689               5
       73       87       60       69           117         338               5
       74       18       44       90           109         436               5
       75       25       32       91           476         721               5
       76       71       98       59           218         576               5
       77       18       43       86            68         313               5
       78       27       51       63             9         343               5
       79       71       10       90           309         643               5
       80       65       55       63           175         529               5
       81       81       99       66           205         592               5
       82       34       26       55           205         495               5
       83       46       96       65           252         605               5
       84       49       46       95           258         631               5
       85       63        4       86           228         435               5
       86       68       98       67           409         774               5
       87       73       36       78           393         639               5
       88       81        0       59           352         688               5
       89       62       86      100           186         386               5
       90       97       53       80           423         747               5
       91        2       45       98           177         435               5
       92       41       72       72           261         619               5
       93       17        4       67           421         765               5
       94       16       33       76           133         457               5
       95       74       44       64           245         514               5
       96       23       35       80           209         425               5
       97       65       81       93           454         825               5
       98       26       85       59           272         618               5
       99       99       53       90           117         422               5
      100       16       40       51           211         551               5
