TC-R0173

VEHICLE
NUMBER     CAPACITY
   100     147

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       81       96        0             0        1000               0
        1        3        3       10           412         667               5
        2       76       92        9           194         441               5
        3        3       13        5           299         527               5
        4       77        1        9           473         766               5
        5       90       98        8           415         757               5
        6       85       10        5           457         698               5
        7       29        6        7           416         659               5
        8       54       75        2           485         800               5
        9       83        8        8           264         642               5
       10       74       83        2           277         643               5
       11       60       11       10           255         493               5
       12       30       38        1           463         709               5
       13       38       57       10           220         486               5
       14        0       92        7           413         650               5
       15       37       68        6           328         677               5
       16       99       46       10           476         716               5
       17       41       51       10           241         630               5
       18       43       65        9           125         444               5
       19        3       74        6           471         782               5
       20       16       67        4           229         478               5
       21       72       71        5           160         479               5
       22       79       86        3           461         697               5
       23       91        2       10           295         582               5
       24       45       54        9           215         443               5
       25       65       28        6           413         733               5
       26       77       72        7           307         568               5
       27       68        0        2           176         484               5
       28       51       54       10           177         502               5
       29       88       59        7           303         548               5
       30       79       84       10           168         561               5
       31       33       83        6           490         881               5
       32       75        6        3           445         778               5
       33       61       46        9           291         602               5
       34        5        6        7           172         413               5
       35       54       72        9           129         342               5
       36        7       83        4           262         487               5
       37       55        8        3           284         659               5
       38       87       19        6           158         448               5
       39       12      100        6           458         726               5
       40       25        3        5            68         315               5
       41       24        9        6            21         280               5
       42       18       71        7           500         726               5
       43       54        1       10            65         300               5
       44       53       26        5           331         543               5
       45       68       62        1           408         778               5
       46       60        3        4           439         689               5
       47       95       45        5           477         764               5
       48       26       69        7           192         588               5
       49       23        4        1           337         583               5
       50       36       21       10           450         711               5
       51       81       73        5           178         558               5
       52       33       29        4           171         381               5
       53       48       94        9           183         465               5
       54       82       97        2           457         815               5
       55       42       78        1           122         336               5
       56       45       99        4           197         445               5
       57        9       13        3           350         671               5
       58       23       39        8           456         806               5
       59       32        8        3           451         654               5
       60        3       85        3           462         859               5
       61       47       24        3           270         647               5
       62       48        5        6           281         565               5
       63       65       83        8           490         713               5
       64       47       55        6           346         740               5
       65       57       61        3           216         478               5
       66       40       67        8            68         421               5
       67       71       74        6           457         828               5
       68       86       19        7            34         370               5
       69       43       49        7           214         587               5
       70       90       83        8           181         512               5
       71       12       69        2           417         721               5
       72       38       42        4           239         556               5
       73       36       34        3           165         425               5
       74       85       90        5           463         685               5
       75        9       81        1           113         371               5
       76       87       75        7           330         652               5
       77       62        8        2           299         603               5
       78       19       95        1           439         649               5
       79       66       16        8           271         664               5
       80       88        8        9           335         711               5
       81       89       91        8           206         457               5
       82        5       66       10           342         572               5
       83       96       58        7           415         719               5
       84        8       15        6           401         693               5
       85       96       70        7           290         670               5
       86        8       76        4            16         415               5
       87       47       79        2           478         748               5
       88       33       86        9           432         637               5
       89       53      100        8           427         686               5
       90       85       80        3           240         574               5
       91       98       31       10           314         539               5
       92        9       59        7           266         568               5
       93        3        1       10            51         387               5
       94       77       13        9           208         417               5
       95       73       99        1           498         750               5
       96       35       83        4           486         739               5
       97       58       56        9           394         649               5
       98       32        3       10           461         812               5
       99       86        3       10           330         723               5
      100       81       26        8           460         708               5
