TC-RC1462

VEHICLE
NUMBER     CAPACITY
   100     388

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       86       92        0             0        2000               0
        1       61       70       27           324         449               5
        2       56       57       39          1498        1576               5
        3       20       30       60          1371        1437               5
        4        5       20       52           852         990               5
        5       38       31       30           188         305               5
        6       36       38       47           305         448               5
        7       41        8       20           293         403               5
        8       63       50       50           333         460               5
        9        1       57       95           320         461               5
       10       58       58       83           201         307               5
       11       40       89       48           840         987               5
       12       43       35       55            51         169               5
       13        7       82       78          1728        1795               5
       14       80       38       51           699         816               5
       15        1       63       82           121         176               5
       16       34       27       33           274         369               5
       17       39       68       56           858         916               5
       18       63       57       27           725         806               5
       19       56       43       52           279         416               5
       20       13        3        8           299         375               5
       21       12       34       96           356         492               5
       22       99       52       13           296         356               5
       23       80        5       93           284         373               5
       24       63       23       75          1347        1452               5
       25       38       31       67           180         233               5
       26       73       55       14           729         879               5
       27       19        3        6          1608        1758               5
       28       97       76       12           347         461               5
       29       33       53       43           224         359               5
       30       36       38       28           737         839               5
       31       12        2       37           405         496               5
       32       31       14       90           613         688               5
       33       61       52       15           666         784               5
       34        7       31       14           681         760               5
       35       55       12       23          1523        1641               5
       36       37       32        2          1329        1389               5
       37       21       28       29           781         842               5
       38       40        9       42           689         779               5
       39       12       66       88           815         958               5
       40       83       62       88           275         379               5
       41        7       67      100           265         386               5
       42       37       43       62           672         725               5
       43       78       68        6           186         258               5
       44       31       72       97           305         424               5
       45       65       79       64           773         890               5
       46       44       56       72           947        1046               5
       47       48       83       50           257         309               5
       48       44       29       32           311         408               5
       49       27       46       43          1659        1723               5
       50       24       29       23           295         407               5
       51       77       14       42           211         330               5
       52       64       36       43           686         812               5
       53       38       14       41           657         788               5
       54       13        2       35           755         847               5
       55       28       36       13          1242        1359               5
       56       28       63       35           200         274               5
       57        9       20       80           233         378               5
       58       43       23       38           796         930               5
       59       34       48       89           893         992               5
       60       39       37       82           338         459               5
       61       66       94       71           763         828               5
       62       18       33       36           763         903               5
       63       48        8        1           264         384               5
       64       95       89       55           762         881               5
       65        7       57       49           231         316               5
       66       32       37       79           758         811               5
       67       40       38       68           159         299               5
       68       91       89        5           730         870               5
       69       38       40       45           163         261               5
       70       26       58       38           208         288               5
       71       36       87       98           147         284               5
       72       13       89       84           728         873               5
       73       20       10       54           424         482               5
       74       81       47       65           833         904               5
       75        0       85       91           778         854               5
       76       39        8       10           756         811               5
       77       11       43       69           524         652               5
       78       36       34       52           694         833               5
       79       33       29       50           816         870               5
       80       26       75       27           652         793               5
       81       89       49       62           756         807               5
       82       91       76       16           202         297               5
       83       20       99       37           143         214               5
       84       86       26       14           203         274               5
       85       98       37       12           232         340               5
       86        8       51       62           691         757               5
       87       86       34       59           700         817               5
       88       31       37        9           678         814               5
       89       24       38       94           223         273               5
       90       96       57       39           668         777               5
       91       38       31       71           233         355               5
       92       29       37       22           670         733               5
       93       75       23        5           201         289               5
       94       43       34       51           736         802               5
       95       32       14       88           189         287               5
       96       40       33       16           824         923               5
       97       37       46       54           650         760               5
       98       31       34       53           650         790               5
       99       66       47       47          1369        1500               5
      100       30       33       66           841         965               5
