TC-R0145

VEHICLE
NUMBER     CAPACITY
   100     90

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       71       50        0             0        2000               0
        1       12       43        1           183         239               5
        2       12       99        2           876        1007               5
        3       76       39       10          1034        1155               5
        4       32       68        8           118         194               5
        5       63       42        6          1709        1848               5
        6       24       98        8            94         179               5
        7       79        3        2          1618        1732               5
        8       92       57        7           534         623               5
        9       41       19        2          1195        1342               5
       10       33        6        3           766         824               5
       11       72       93        9           640         761               5
       12       80       68       10           270         360               5
       13       87       74       10           384         467               5
       14       69       76        1          1365        1425               5
       15      100       45        9            90         141               5
       16       81       55        8           169         295               5
       17       51       45        3          1737        1855               5
       18       53       11        9           197         304               5
       19       48       86       10           891         995               5
       20       95       53        3          1489        1634               5
       21       53       45        7           434         549               5
       22       84       33       10           386         454               5
       23       93       93        4           636         708               5
       24       88       44        7          1273        1370               5
       25       51       29        6          1312        1436               5
       26        3       47        4           163         312               5
       27       78       64        2           711         820               5
       28       62       22       10          1255        1326               5
       29       37       92        3            14          99               5
       30       44       15        3          1705        1812               5
       31       69      100        7          1222        1336               5
       32       71       61        4          1077        1171               5
       33       14       35        3          1102        1161               5
       34       27       26        6           587         718               5
       35       76       66       10           751         837               5
       36       15       97        8           473         540               5
       37       97       44        7          1071        1131               5
       38       36       41        7          1622        1766               5
       39       66       41        4          1693        1835               5
       40       48       59        8           310         444               5
       41       32       93        7          1346        1487               5
       42       25       56        9           942        1025               5
       43       63        5        3          1625        1735               5
       44       92       29        5           471         572               5
       45       71       98        5          1558        1608               5
       46       46       83        1          1348        1451               5
       47       21       27        1           954        1091               5
       48       17       64        8            58         176               5
       49       79       98        6          1581        1694               5
       50       32       87       10          1292        1420               5
       51       84       60        8          1444        1571               5
       52       28       97        4          1103        1161               5
       53        2       54        9             6          84               5
       54       57       56        9          1562        1637               5
       55       25       50        1           420         514               5
       56       81       30        7           157         221               5
       57       99       85        9           486         629               5
       58       63       12        2           541         646               5
       59       31       26        2          1577        1646               5
       60       69        6        6          1631        1757               5
       61       96       54        4            73         211               5
       62       63       74        9          1649        1748               5
       63        8       55        6          1042        1172               5
       64       78       70        4           862         940               5
       65       86       25        4          1487        1615               5
       66       10       72        8           866         989               5
       67       46        7        9          1015        1116               5
       68       90       37        9          1673        1749               5
       69       49       31       10          1180        1264               5
       70       92       24        9           809         879               5
       71       54       39        3            54         175               5
       72       35       75        3           595         652               5
       73       45       47        4          1061        1205               5
       74       97        4        7          1254        1353               5
       75       84       13        8          1684        1774               5
       76       62       43        2           536         624               5
       77       58       67        1          1288        1395               5
       78       51       93        4          1408        1519               5
       79       25       91        9          1567        1676               5
       80        8       66        1           448         517               5
       81       59       78        8             9         156               5
       82       53       14        7           723         860               5
       83       34       14        4           737         792               5
       84       16       11        9          1143        1289               5
       85        3       52        3           364         508               5
       86       98       38        3          1264        1373               5
       87       30       32        2           955        1103               5
       88       74        7        1          1084        1221               5
       89       40       98        1           469         581               5
       90       79       70        1          1682        1784               5
       91       69       98        1            27         131               5
       92       12       40       10           333         476               5
       93       72       60        1          1275        1417               5
       94       54       84        4           677         770               5
       95       55       41        7           183         277               5
       96       12        4        2           149         295               5
       97       87       13        7           773         831               5
       98       95       92        4          1262        1325               5
       99       26       51        9           502         616               5
      100       87       47        8          1278        1340               5
