TC-RC3192

VEHICLE
NUMBER     CAPACITY
   100     389

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
        0       50       50        0             0        2000               0
        1       83       58       98           462         734               5
        2       74       63        1           903        1171               5
        3       36       37        8           882        1085               5
        4       47       87       24           981        1255               5
        5       21       39      100           441         693               5
        6       70       33       47          1067        1268               5
        7       62        8       78           131         509               5
        8       41        0      100           151         394               5
        9       20       38       14          1073        1424               5
       10       46       59       61           818        1018               5
       11       71       97       88          1222        1470               5
       12       68       89       51          1367        1762               5
       13       23       45       10           665         963               5
       14       92       40       12           797        1054               5
       15       88       89       74          1376        1707               5
       16       36       76       71           814        1182               5
       17       29       63       49           754        1095               5
       18       36       18        4           966        1242               5
       19       80       67       68           415         725               5
       20       35       59       47          1024        1234               5
       21       30       57       86          1272        1618               5
       22       98       17        7           198         562               5
       23       94       17       23           915        1119               5
       24       93       19       20           220         594               5
       25       65       33       18           259         509               5
       26       81       39       62           684        1013               5
       27        8        0       15          1366        1569               5
       28       91       13       23           325         584               5
       29       97       17       84          1480        1766               5
       30       76       78       20            39         392               5
       31       69       10       84           679        1026               5
       32       68       63       37           147         544               5
       33       78       12       99          1203        1456               5
       34       53       27       95           636        1026               5
       35       88       38       27          1288        1601               5
       36       42       84       71          1192        1396               5
       37       38        3       96           594         856               5
       38       45       78       12          1267        1485               5
       39        4       69       19          1152        1517               5
       40       89       62       68           289         499               5
       41       94       17       36           738        1065               5
       42       74       38       11           289         541               5
       43       84       70       18           209         497               5
       44       83       30       56           367         713               5
       45       21        2       84          1016        1282               5
       46       55       16       28           638         986               5
       47       65       81       65           997        1342               5
       48       40       62       56           222         598               5
       49       49       35       66          1023        1324               5
       50        0       68       86             7         271               5
       51       66       59       68           689         939               5
       52       83       60       87          1016        1345               5
       53       73       66       12          1446        1669               5
       54       66       60       72           104         364               5
       55       40       99       87          1079        1315               5
       56       16       20       59          1419        1759               5
       57       85       33       69           277         651               5
       58       37       88       41           767        1084               5
       59       65       41       20          1050        1270               5
       60       84       51       95          1253        1653               5
       61       79       53       62           542         806               5
       62       56       62       62           803        1062               5
       63       88       21      100           666         996               5
       64       15       30       45          1129        1420               5
       65       13       78       39          1293        1518               5
       66       23       90       11           116         367               5
       67       34       57       48           969        1265               5
       68       38       61       23           483         753               5
       69       58       81       30           684         950               5
       70       33       91       97           305         659               5
       71       32       62       18           422         753               5
       72       44       69       93          1390        1747               5
       73       74       63       47          1283        1632               5
       74       58       89       22           991        1200               5
       75       29       75       38           729        1078               5
       76       41       56       24           584         910               5
       77       95        4       37          1417        1704               5
       78       31       29       15          1192        1432               5
       79       94       17       10          1190        1408               5
       80       22       39       48           836        1071               5
       81       94       23       56          1462        1844               5
       82       37       89       64           799        1051               5
       83       77       61       33          1498        1746               5
       84       34       64       14           278         652               5
       85       70       59       65           728         959               5
       86       94       17       67          1355        1687               5
       87       42       52       27            78         425               5
       88       44       57       95          1489        1818               5
       89       66       53       16          1285        1607               5
       90       90       25       37           745        1068               5
       91       86       79       35          1289        1591               5
       92       64       91       67           101         496               5
       93       74       15       28           663        1009               5
       94       93       11       41           992        1348               5
       95       24        3       17           988        1352               5
       96       88       44       81           381         729               5
       97       30       64       18            90         360               5
       98       49       80       67          1463        1796               5
       99        9       15       25          1154        1441               5
      100       27       64       45           790        1155               5
